"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "chest"
"112" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test1" 0.00884478947368422
"113" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test4" 0.00445116666666666
"114" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test2" -0.0109353859649123
"115" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test1" -0.019816201754386
"116" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test3" -0.0120268859649123
"117" 243396 "05.05.05" 5 5 5 1955 5.3525 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test2" -0.00601906578947369
"118" 243396 "05.05.05" 5 5 5 1955 5.3525 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test3" 0.000775763157894758
"119" 243396 "05.05.05" 5 5 5 1955 5.3525 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test1" -0.00333297368421054
"120" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test3" 0.0213184385964912
"121" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test1" 0.00903923464912279
"122" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test2" -0.00313131140350878
"123" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test4" -0.0036491403508772
"124" 240302 "05.05.06" 5 5 6 1956 5.3552 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test1" -0.00666866447368423
"125" 240302 "05.05.06" 5 5 6 1956 5.3552 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test3" -0.00579194078947367
"126" 240891 "05.05.07" 5 5 7 1957 5.358 "male" "5y" "Child_help" "Deco" "San_Step" "Test1" -0.00738813358918129
"127" 240891 "05.05.07" 5 5 7 1957 5.358 "male" "5y" "Child_help" "Tower" "San_Step" "Test3" -0.038179752010234
"128" 240891 "05.05.07" 5 5 7 1957 5.358 "male" "5y" "E1_help" "Tower" "San_Step" "Test2" -0.0129485217470761
"129" 240596 "05.05.08" 5 5 8 1958 5.3607 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test3" -0.000819136513157897
"130" 240596 "05.05.08" 5 5 8 1958 5.3607 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test1" -0.00312100493421054
"131" 240914 "05.05.09" 5 5 9 1959 5.3634 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test3" -0.0339927260860485
"132" 240914 "05.05.09" 5 5 9 1959 5.3634 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test1" 0.00823879459064329
"133" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test4" 0.0500939539473684
"134" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test2" 0.0266545328947369
"135" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "E1_help" "Deco" "Nin_Step" "Test1" 0.0495669144736842
"136" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test3" 8.33092105263304e-05
"137" 241090 "05.05.12" 5 5 12 1962 5.3717 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test3" -0.00141618421052631
"138" 241090 "05.05.12" 5 5 12 1962 5.3717 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test1" -0.0206420921052631
"139" 241090 "05.05.12" 5 5 12 1962 5.3717 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test4" 0.0117496907894737
"140" 240747 "05.05.12" 5 5 12 1962 5.3717 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test4" 0.00873121381578946
"141" 240747 "05.05.12" 5 5 12 1962 5.3717 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test2" 0.0133395296052631
"142" 240747 "05.05.12" 5 5 12 1962 5.3717 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test3" -0.00546970723684211
"143" 238433 "05.05.13" 5 5 13 1963 5.3744 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test2" 0.0174565986842105
"144" 238433 "05.05.13" 5 5 13 1963 5.3744 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test4" 0.017531677631579
"145" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "Child_help" "Deco" "San_Step" "Test2" -0.0303489868421053
"146" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "Child_help" "Tower" "San_Step" "Test4" -0.0361718157894737
"147" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "E1_help" "Deco" "San_Step" "Test3" -0.00614255921052633
"148" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "E1_help" "Tower" "San_Step" "Test1" -0.0505102039473684
"149" 238435 "05.05.16" 5 5 16 1966 5.3826 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test2" -0.0178927171052632
"150" 238435 "05.05.16" 5 5 16 1966 5.3826 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0211435592105263
"151" 238435 "05.05.16" 5 5 16 1966 5.3826 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0163937302631579
"152" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test2" 0.00714020065789474
"153" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test4" 0.0189450427631579
"154" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0131922138157895
"155" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test1" 0.000689161184210526
"156" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "Child_help" "Deco" "San_Step" "Test3" -0.0229261217105262
"157" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "Child_help" "Tower" "San_Step" "Test1" -0.0312367993421053
"158" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "E1_help" "Deco" "San_Step" "Test2" -0.0257411414473684
"159" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "E1_help" "Tower" "San_Step" "Test4" -0.00480568092105262
"160" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test1" 0.0597567631578948
"161" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test3" -0.0233168684210526
"162" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "E1_help" "Deco" "Chr_Han" "Test4" -0.00519419078947368
"163" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0749515
"164" 239845 "05.05.24" 5 5 24 1974 5.4045 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test2" -0.0323615317982456
"165" 239845 "05.05.24" 5 5 24 1974 5.4045 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0146585844298246
"166" 239845 "05.05.24" 5 5 24 1974 5.4045 "male" "5y" "E1_help" "Deco" "Chr_Han" "Test3" -0.0455641765350877
"167" 238360 "05.05.26" 5 5 26 1976 5.41 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test3" 0.00522241118421053
"168" 238360 "05.05.26" 5 5 26 1976 5.41 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0468737269736842
"169" 238360 "05.05.26" 5 5 26 1976 5.41 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test4" -0.0468206019736842
"170" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test1" 0.0146705674342105
"171" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test3" 0.0273236595394737
"172" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test4" 0.00406054989035088
"173" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test2" 0.0115827648026316
"174" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test2" 0.0440620855263158
"175" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test4" 0.0243971118421053
"176" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test3" -0.0276982631578947
"177" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test1" 0.0331341513157895
"178" 238734 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test3" 0.000243189144736844
"179" 238373 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test1" -0.00593037017543858
"180" 238373 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Deco" "Chr_Han" "Test4" -0.0192433109649123
"181" 238373 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test2" 0.0133442416666667
"182" 240383 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test4" 0.021433600877193
"183" 240383 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test2" 0.0253887263157895
"184" 240383 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0230528552631579
"185" 240762 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test4" -0.0336447280701754
"186" 240762 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Deco" "Nin_Step" "Test1" 0.00260295175438597
"187" 240762 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test3" -0.0104608201754384
"188" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test1" 0.0226911995614035
"189" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test3" 0.0209928377192982
"190" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test4" 0.0244183771929825
"191" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test2" 0.037285100877193
"192" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test4" -0.00119027796052632
"193" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test2" -0.00111415953947368
"194" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test1" -0.00641018585526315
"195" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0307241463815789
"196" 240529 "05.06.09" 5 6 9 1989 5.4456 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test4" 0.0119053970394737
"197" 240529 "05.06.09" 5 6 9 1989 5.4456 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test2" 0.0149299628289474
"198" 240529 "05.06.09" 5 6 9 1989 5.4456 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test1" 0.000635482565789528
"199" 238463 "05.06.12" 5 6 12 1992 5.4538 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test2" -0.00141268421052632
"200" 238463 "05.06.12" 5 6 12 1992 5.4538 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test4" 0.00670927631578948
