"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "expansion"
"91" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test4" -0.0292308631735589
"92" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test2" 0.00960342958959899
"93" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test1" -0.0185566131735589
"94" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0450130276472431
"95" 249233 "02.06.26" 2 6 26 926 2.5352 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.0209777791353383
"96" 249233 "02.06.26" 2 6 26 926 2.5352 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test3" 0.00692228665413533
"97" 249233 "02.06.26" 2 6 26 926 2.5352 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test2" -0.000783384398496238
"98" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "Child_help" "Deco" "San_Step" "Test3" 6.22171052631577e-05
"99" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "Child_help" "Tower" "San_Step" "Test1" -0.0066950197368421
"100" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "E1_help" "Deco" "San_Step" "Test2" -0.0021913552631579
"101" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "E1_help" "Tower" "San_Step" "Test4" 0.00733395394736842
"102" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test2" -0.0369981990131579
"103" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0170128832236842
"104" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test3" -0.0231221463815789
"105" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test1" -0.0158110279605263
"106" 241079 "05.05.03" 5 5 3 1953 5.347 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test1" -0.000782684210526313
"107" 241079 "05.05.03" 5 5 3 1953 5.347 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test3" -0.00400334210526315
"108" 241079 "05.05.03" 5 5 3 1953 5.347 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test4" -0.00317822368421053
"109" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test2" 0.0170582675438596
"110" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test4" -0.00219511403508772
"111" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "E1_help" "Deco" "Nin_Step" "Test3" 0.00824337280701758
"112" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test1" 0.00646117543859649
"113" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test4" 0.00580065789473683
"114" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test2" -0.0121738684210526
"115" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test1" 0.00301921052631577
"116" 245115 "05.05.04" 5 5 4 1954 5.3498 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test3" -0.0296753815789474
"117" 243396 "05.05.05" 5 5 5 1955 5.3525 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test2" -0.0146455394736842
"118" 243396 "05.05.05" 5 5 5 1955 5.3525 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test3" -0.0136805526315789
"119" 243396 "05.05.05" 5 5 5 1955 5.3525 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test1" -0.0113082763157895
"120" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test3" 0.0111652587719298
"121" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test1" 0.0104312785087719
"122" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test2" -0.00457692543859647
"123" 240850 "05.05.06" 5 5 6 1956 5.3552 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test4" -0.0459490701754386
"124" 240302 "05.05.06" 5 5 6 1956 5.3552 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test1" 0.00495219078947366
"125" 240302 "05.05.06" 5 5 6 1956 5.3552 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test3" -0.00437638157894736
"126" 240891 "05.05.07" 5 5 7 1957 5.358 "male" "5y" "Child_help" "Deco" "San_Step" "Test1" 0.00817621564327484
"127" 240891 "05.05.07" 5 5 7 1957 5.358 "male" "5y" "Child_help" "Tower" "San_Step" "Test3" -0.0127980409356726
"128" 240891 "05.05.07" 5 5 7 1957 5.358 "male" "5y" "E1_help" "Tower" "San_Step" "Test2" -0.0320644554093568
"129" 240596 "05.05.08" 5 5 8 1958 5.3607 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test3" 0.00602902796052632
"130" 240596 "05.05.08" 5 5 8 1958 5.3607 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test1" 0.0102540871710526
"131" 240914 "05.05.09" 5 5 9 1959 5.3634 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test3" 0.00166651811821217
"132" 240914 "05.05.09" 5 5 9 1959 5.3634 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test1" 0.0258499777046784
"133" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test4" 0.0434068881578948
"134" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test2" 0.0327288815789474
"135" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "E1_help" "Deco" "Nin_Step" "Test1" 0.0303244934210526
"136" 240894 "05.05.11" 5 5 11 1961 5.3689 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test3" -0.00722283552631578
"137" 241090 "05.05.12" 5 5 12 1962 5.3717 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test3" 0.0033075855263158
"138" 241090 "05.05.12" 5 5 12 1962 5.3717 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test1" 0.0141500065789474
"139" 241090 "05.05.12" 5 5 12 1962 5.3717 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test4" 0.00477436184210528
"140" 240747 "05.05.12" 5 5 12 1962 5.3717 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test4" -0.0149515098684211
"141" 240747 "05.05.12" 5 5 12 1962 5.3717 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test2" -0.00246589144736843
"142" 240747 "05.05.12" 5 5 12 1962 5.3717 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test3" 0.0242884769736842
"143" 238433 "05.05.13" 5 5 13 1963 5.3744 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test2" 0.0753106842105263
"144" 238433 "05.05.13" 5 5 13 1963 5.3744 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test4" 0.0545972302631579
"145" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "Child_help" "Deco" "San_Step" "Test2" -0.0230702302631579
"146" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "Child_help" "Tower" "San_Step" "Test4" -0.00542899999999999
"147" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "E1_help" "Deco" "San_Step" "Test3" -0.047593
"148" 240807 "05.05.14" 5 5 14 1964 5.3771 "male" "5y" "E1_help" "Tower" "San_Step" "Test1" 0.0012804342105263
"149" 238435 "05.05.16" 5 5 16 1966 5.3826 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test2" -0.0273045098684211
"150" 238435 "05.05.16" 5 5 16 1966 5.3826 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test4" 0.00834946381578948
"151" 238435 "05.05.16" 5 5 16 1966 5.3826 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0436616085526316
"152" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test2" 0.0314741233552632
"153" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test4" -0.00139583717105264
