"Age_group"	"Condition"	"Gender"	"Subject"	"Phase"	"aveChange"
"169"	"2y"	"E1_help"	"female"	"250015"	"Test1"	-0.0174
"170"	"5y"	"Child_help"	"female"	"238435"	"Test2"	-0.0179
"171"	"5y"	"E1_help"	"male"	"243582"	"Test3"	-0.018
"172"	"2y"	"Child_help"	"female"	"248461"	"Test1"	-0.0185
"173"	"5y"	"E1_help"	"male"	"238373"	"Test4"	-0.0192
"174"	"2y"	"Child_help"	"male"	"250591"	"Test4"	-0.0193
"175"	"5y"	"E1_help"	"female"	"245115"	"Test1"	-0.0198
"176"	"2y"	"Child_help"	"female"	"248461"	"Test3"	-0.0204
"177"	"2y"	"E1_help"	"female"	"246983"	"Test2"	-0.0205
"178"	"5y"	"Child_help"	"male"	"241090"	"Test1"	-0.0206
"179"	"2y"	"Child_help"	"female"	"250015"	"Test4"	-0.0208
"180"	"5y"	"E1_help"	"male"	"241039"	"Test3"	-0.021
"181"	"5y"	"Child_help"	"female"	"238435"	"Test4"	-0.0211
"182"	"2y"	"E1_help"	"male"	"249632"	"Test2"	-0.0221
"183"	"5y"	"Child_help"	"female"	"240346"	"Test3"	-0.0229
"184"	"5y"	"E1_help"	"male"	"240383"	"Test3"	-0.0231
"185"	"5y"	"Child_help"	"male"	"240642"	"Test3"	-0.0233
"186"	"2y"	"Child_help"	"male"	"247384"	"Test4"	-0.0235
"187"	"2y"	"E1_help"	"male"	"249632"	"Test4"	-0.0246
"188"	"5y"	"E1_help"	"female"	"240346"	"Test2"	-0.0257
"189"	"2y"	"E1_help"	"male"	"251930"	"Test4"	-0.0258
"190"	"5y"	"E1_help"	"female"	"240929"	"Test2"	-0.026
"191"	"5y"	"E1_help"	"female"	"240349"	"Test3"	-0.0277
"192"	"5y"	"Child_help"	"male"	"240807"	"Test2"	-0.0303
"193"	"5y"	"E1_help"	"female"	"238484"	"Test3"	-0.0307
"194"	"5y"	"Child_help"	"female"	"240346"	"Test1"	-0.0312
"195"	"5y"	"Child_help"	"male"	"239845"	"Test2"	-0.0324
"196"	"2y"	"Child_help"	"male"	"251930"	"Test3"	-0.0325
"197"	"2y"	"Child_help"	"male"	"253940"	"Test4"	-0.0333
"198"	"5y"	"Child_help"	"male"	"240762"	"Test4"	-0.0336
"199"	"5y"	"Child_help"	"female"	"240914"	"Test3"	-0.034
"200"	"5y"	"Child_help"	"male"	"240807"	"Test4"	-0.0362
"201"	"5y"	"Child_help"	"male"	"240891"	"Test3"	-0.0382
"202"	"2y"	"E1_help"	"male"	"247527"	"Test3"	-0.0392
"203"	"2y"	"E1_help"	"female"	"246661"	"Test3"	-0.0408
"204"	"5y"	"E1_help"	"male"	"239845"	"Test3"	-0.0456
"205"	"5y"	"Child_help"	"female"	"240929"	"Test3"	-0.0463
"206"	"2y"	"E1_help"	"female"	"248461"	"Test2"	-0.0464
"207"	"5y"	"E1_help"	"male"	"238360"	"Test4"	-0.0468
"208"	"5y"	"E1_help"	"male"	"240807"	"Test1"	-0.0505
"209"	"2y"	"Child_help"	"male"	"255137"	"Test3"	-0.0617
"210"	"5y"	"E1_help"	"male"	"240642"	"Test2"	-0.075
