"helped"	"Context"	"Condition"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"59"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_6.034223135_m_D4"	"D4"	6.034223135	-0.000488898651960783	0.00781964990897861
"60"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_6.058863792_m_D42"	"D42"	6.058863792	-0.00291839591503267	0.00904573115335467
"61"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.412731006_m_D100"	"D100"	5.412731006	0.0881862419117647	0.0282126487240858
"62"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.859000684_m_D101"	"D101"	5.859000684	0.0182729911764706	0.00918345076814114
"63"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E2_6.02874743_m_D93"	"D93"	6.02874743	-0.047710868627451	0.0317170211190377
"64"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.35523614_f_D76"	"D76"	5.35523614	-0.0457412580143168	0.015429533938441
"65"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.793292266_f_D27"	"D27"	5.793292266	-0.0167173235294118	0.0336918452825121
"66"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.850787132_f_D32"	"D32"	5.850787132	0.00141838195028011	0.00844904424494186
"67"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.916495551_f_D16"	"D16"	5.916495551	0.0156757377450981	0.00990124557741086
"68"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.971252567_f_D22"	"D22"	5.971252567	0.000158597426470593	0.00662544627582453
"69"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E2_5.768651608_f_D102"	"D102"	5.768651608	-0.00933898242296919	0.0165379165328357
"70"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.366187543_m_D51"	"D51"	5.366187543	-0.0469170473856209	0.0104002002681718
"71"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.483915127_m_D77"	"D77"	5.483915127	-0.0301255972222222	0.00938103471005958
"72"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.524982888_m_D50"	"D50"	5.524982888	-0.0042495074754902	0.00356846866678603
"73"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.683778234_m_D15"	"D15"	5.683778234	0.0229662444852941	0.00709984856839676
"74"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_6.135523614_m_D43"	"D43"	6.135523614	0.00144326587885154	0.00913088984993574
"75"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_6.138261465_m_D81"	"D81"	6.138261465	0.00324279950980392	0.00645758458744684
"76"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_6.149212868_m_D13"	"D13"	6.149212868	0.0266154260679272	0.0144007438164868
"77"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E2_5.497604381_m_D103"	"D103"	5.497604381	0.00439007333683474	0.00933224640245886
"78"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E2_5.87542779_m_D90"	"D90"	5.87542779	0.0153702449754902	0.00460033420261663
"79"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.470225873_f_D11"	"D11"	5.470225873	0.0256427401960784	0.0221536248605601
"80"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.568788501_f_D66"	"D66"	5.568788501	-0.00511274330693818	0.023825810091052
