"helped"	"Context"	"Condition"	"Gender"	"Dyade"	"Target"	"Subject"	"Age"	"Experimenter"	"Mean"	"SD"
"58"	"helped"	"incon"	"unobs"	"m"	"D34"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.585215606_m_D34"	5.585215606	"E1"	0.0306611915849673	0.00270607936275109
"59"	"helped"	"incon"	"unobs"	"m"	"D4"	"target"	"NeeCo3eye_unobs_incon_target_E1_6.034223135_m_D4"	6.034223135	"E1"	-0.00711445073529411	0.00324502804003547
"60"	"helped"	"incon"	"unobs"	"m"	"D42"	"target"	"NeeCo3eye_unobs_incon_target_E1_6.058863792_m_D42"	6.058863792	"E1"	0.00216462254901963	0.00366467975556222
"61"	"helped"	"incon"	"unobs"	"m"	"D62"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.563312799_m_D62"	5.563312799	"E1"	-0.0275613792016807	0.0143482284744227
"62"	"helped"	"incon"	"unobs"	"m"	"D68"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.579739904_m_D68"	5.579739904	"E1"	-0.0242947711081402	0.00285776138564372
"63"	"helped"	"incon"	"unobs"	"m"	"D93"	"target"	"NeeCo3eye_unobs_incon_target_E2_6.02874743_m_D93"	6.02874743	"E2"	0.0124554862745098	0.012267303869501
"64"	"not_helped"	"con"	"obs"	"f"	"D102"	"target"	"NeeCo3eye_obs_con_target_E2_5.768651608_f_D102"	5.768651608	"E2"	-0.00346719355742298	0.0091007272423805
"65"	"not_helped"	"con"	"obs"	"f"	"D16"	"target"	"NeeCo3eye_obs_con_target_E1_5.916495551_f_D16"	5.916495551	"E1"	-0.058876537254902	0.0165761879279184
"66"	"not_helped"	"con"	"obs"	"f"	"D22"	"target"	"NeeCo3eye_obs_con_target_E1_5.971252567_f_D22"	5.971252567	"E1"	3.30857843137033e-05	0.00326994795025375
"67"	"not_helped"	"con"	"obs"	"f"	"D27"	"target"	"NeeCo3eye_obs_con_target_E1_5.793292266_f_D27"	5.793292266	"E1"	0.0189755544662309	0.0146622405320839
"68"	"not_helped"	"con"	"obs"	"f"	"D32"	"target"	"NeeCo3eye_obs_con_target_E1_5.850787132_f_D32"	5.850787132	"E1"	0.00710469520308122	0.00486534283923457
"69"	"not_helped"	"con"	"obs"	"f"	"D76"	"target"	"NeeCo3eye_obs_con_target_E1_5.35523614_f_D76"	5.35523614	"E1"	-0.00595198579209463	0.00729820879704803
"70"	"not_helped"	"con"	"obs"	"m"	"D103"	"target"	"NeeCo3eye_obs_con_target_E2_5.497604381_m_D103"	5.497604381	"E2"	0.0130187830007003	0.00205528735144202
"71"	"not_helped"	"con"	"obs"	"m"	"D13"	"target"	"NeeCo3eye_obs_con_target_E1_6.149212868_m_D13"	6.149212868	"E1"	0.00484364828431373	0.00757958097974139
"72"	"not_helped"	"con"	"obs"	"m"	"D15"	"target"	"NeeCo3eye_obs_con_target_E1_5.683778234_m_D15"	5.683778234	"E1"	-0.0437133245506535	0.0143850661354753
"73"	"not_helped"	"con"	"obs"	"m"	"D43"	"target"	"NeeCo3eye_obs_con_target_E1_6.135523614_m_D43"	6.135523614	"E1"	0.00333795248599443	0.00301517729365879
"74"	"not_helped"	"con"	"obs"	"m"	"D50"	"target"	"NeeCo3eye_obs_con_target_E1_5.524982888_m_D50"	5.524982888	"E1"	-5.20230392156462e-05	0.00430300121520656
"75"	"not_helped"	"con"	"obs"	"m"	"D51"	"target"	"NeeCo3eye_obs_con_target_E1_5.366187543_m_D51"	5.366187543	"E1"	-0.00231406250000004	0.00600241699166576
