"Helped"	"Context"	"Observation"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"49"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.546885695_f_D6"	"D6"	5.546885695	-0.0062701121459695	0.0151282861220664
"50"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.549623546_f_D41"	"D41"	5.549623546	0.0130508779936975	0.0126115281277579
"51"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.555099247_f_D64"	"D64"	5.555099247	0.0202265766389248	0.00721630590883422
"52"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.73853525_f_D63"	"D63"	5.73853525	-0.0167175049019608	0.0266807278239172
"53"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.94934976_f_D69"	"D69"	5.94934976	0.0356959049019608	0.0240459343371578
"54"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.546885695_f_D96"	"D96"	5.546885695	-0.0141591595588235	0.0199997258101054
"55"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.563312799_m_D62"	"D62"	5.563312799	0.024716549894958	0.019477540532983
"56"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.579739904_m_D68"	"D68"	5.579739904	-0.0136513864973262	0.0262168702639116
"57"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.585215606_m_D34"	"D34"	5.585215606	0.0344457430555555	0.00648782557294299
"58"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.965776865_m_D18"	"D18"	5.965776865	-0.00530065710784309	0.0183606426615435
"59"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_6.034223135_m_D4"	"D4"	6.034223135	-0.00760334938725489	0.0104524219014954
"60"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_6.058863792_m_D42"	"D42"	6.058863792	-0.000753773366013047	0.0119411542513753
"61"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.412731006_m_D100"	"D100"	5.412731006	0.0561136044117647	0.0361249254934643
"62"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.859000684_m_D101"	"D101"	5.859000684	0.0206219860294118	0.0108150025828205
"63"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E2_6.02874743_m_D93"	"D93"	6.02874743	-0.0352553823529412	0.0198887705377345
"64"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.35523614_f_D76"	"D76"	5.35523614	-0.0516932438064115	0.0166891718627316
"65"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.793292266_f_D27"	"D27"	5.793292266	0.00225823093681915	0.0227165767812649
"66"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.850787132_f_D32"	"D32"	5.850787132	0.00852307715336133	0.0126274922453509
"67"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.916495551_f_D16"	"D16"	5.916495551	-0.0432007995098039	0.0151414629959257
"68"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E1_5.971252567_f_D22"	"D22"	5.971252567	0.000191683210784297	0.00367522178097447
"69"	"not_helped"	"con"	"obs"	"f"	"target"	"NeeCo3eye_obs_con_target_E2_5.768651608_f_D102"	"D102"	5.768651608	-0.0128061759803922	0.0121002586835696
"70"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.366187543_m_D51"	"D51"	5.366187543	-0.0492311098856209	0.00539971175021308
"71"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.483915127_m_D77"	"D77"	5.483915127	-0.0248260257352941	0.00824419085530492
"72"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.524982888_m_D50"	"D50"	5.524982888	-0.00430153051470585	0.00312489251181208
"73"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_5.683778234_m_D15"	"D15"	5.683778234	-0.0207470800653595	0.00810630445043757
"74"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_6.135523614_m_D43"	"D43"	6.135523614	0.00478121836484597	0.00722085663415808
"75"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_6.138261465_m_D81"	"D81"	6.138261465	0.000571186764705875	0.00750545897239267
"76"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E1_6.149212868_m_D13"	"D13"	6.149212868	0.0314590743522409	0.00848808416035009
"77"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E2_5.497604381_m_D103"	"D103"	5.497604381	0.017408856337535	0.0100469786321057
"78"	"not_helped"	"con"	"obs"	"m"	"target"	"NeeCo3eye_obs_con_target_E2_5.87542779_m_D90"	"D90"	5.87542779	0.00502251617647061	0.00569180283056874
"79"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.470225873_f_D11"	"D11"	5.470225873	-0.0208824035947713	0.0299662434384269
"80"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.568788501_f_D66"	"D66"	5.568788501	0.0314329447586727	0.0157624018889541
