"Context"	"Observation"	"Subj_ID"	"Gender"	"z.age"	"Age"	"Trial"	"Mean"
"86"	"Own-goal"	"Observed"	"ProShame82"	"m"	1.3143445015117	"6.0506502"	"Trial 1"	-0.0309717115384616
"88"	"Own-goal"	"Observed"	"ProShame93"	"m"	-0.703821457839462	"5.35797399"	"Trial 1"	-0.0109783230311356
"90"	"Own-goal"	"Observed"	"ProShame98"	"m"	-1.05480686006262	"5.237508556"	"Trial 1"	0.0431326009615385
"92"	"Own-goal"	"Observed"	"ProShame99"	"w"	0.285319227509976	"5.697467488"	"Trial 1"	-0.0125756634615384
"94"	"Own-goal"	"Unobserved"	"ProShame11"	"m"	-1.42174614552937	"5.11156742"	"Trial 1"	0.0743108461538462
"96"	"Own-goal"	"Unobserved"	"ProShame23"	"m"	-0.0257814724313686	"5.590691307"	"Trial 1"	0.122213503205128
"98"	"Own-goal"	"Unobserved"	"ProShame27"	"m"	1.25850602961583	"6.031485284"	"Trial 1"	0.0596253391025641
"99"	"Own-goal"	"Unobserved"	"ProShame31"	"m"	0.141734289971995	"5.648186174"	"Trial 1"	-0.0794165144230769
"101"	"Own-goal"	"Unobserved"	"ProShame39"	"w"	-0.0576892360049669	"5.579739904"	"Trial 1"	0.126251971153846
"102"	"Own-goal"	"Unobserved"	"ProShame43"	"m"	-0.4724901682889	"5.437371663"	"Trial 1"	0.0618087516025641
"103"	"Own-goal"	"Unobserved"	"ProShame51"	"w"	0.301273110753564	"5.70294319"	"Trial 1"	0.00101497596153847
"105"	"Own-goal"	"Unobserved"	"ProShame55"	"m"	0.7719126285629	"5.864476386"	"Trial 1"	-0.00649234615384615
"107"	"Own-goal"	"Unobserved"	"ProShame59"	"w"	-0.919198864146434	"5.284052019"	"Trial 1"	0.00907453983516487
"109"	"Own-goal"	"Unobserved"	"ProShame67"	"w"	1.57758367117896	"6.140999316"	"Trial 1"	-0.0411721221153846
"111"	"Own-goal"	"Unobserved"	"ProShame68"	"m"	0.0858957015330143	"5.629021218"	"Trial 1"	-0.0200098855769231
"112"	"Own-goal"	"Unobserved"	"ProShame69"	"m"	-1.58926190793273	"5.054072553"	"Trial 1"	0.112408875
"114"	"Own-goal"	"Unobserved"	"ProShame70"	"w"	1.21064438279864	"6.015058179"	"Trial 1"	-0.00583047596153846
"116"	"Own-goal"	"Unobserved"	"ProShame72"	"w"	0.652258512976723	"5.823408624"	"Trial 1"	0.0328825416666667
"118"	"Own-goal"	"Unobserved"	"ProShame88"	"m"	-0.703821457839462	"5.35797399"	"Trial 1"	-0.0347587948717949
"120"	"Own-goal"	"Unobserved"	"ProShame91"	"w"	-1.31804591318678	"5.14715948"	"Trial 1"	0.0498007019230769
"122"	"Own-goal"	"Unobserved"	"ProShame94"	"w"	-1.31804591318678	"5.14715948"	"Trial 1"	-0.0116812516025641
"124"	"Own-goal"	"Unobserved"	"ProShame95"	"m"	-0.560236517387903	"5.407255305"	"Trial 1"	0.0610601153846154
