"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"112"	"20190814T093420_ProShame2_47_m_unobs_4_NA_E2_10_4.930869268"	"47"	"unobs"	"4"	"m"	"4.930869268"	"Test 2"	-0.0249857692307692
"113"	"20190814T101129_ProShame2_48_m_unobs_4_NA_E2_10_4.501026694"	"48"	"unobs"	"4"	"m"	"4.501026694"	"Test 1"	0.00251913525641033
"114"	"20190814T101129_ProShame2_48_m_unobs_4_NA_E2_10_4.501026694"	"48"	"unobs"	"4"	"m"	"4.501026694"	"Test 2"	0.00696160897435902
"115"	"20190815T082813_ProShame2_50_m_unobs_4_NA_E1_11_4.802190281"	"50"	"unobs"	"4"	"m"	"4.802190281"	"Test 1"	-0.0445289477564103
"116"	"20190815T082813_ProShame2_50_m_unobs_4_NA_E1_11_4.802190281"	"50"	"unobs"	"4"	"m"	"4.802190281"	"Test 2"	-0.0217928092948718
"117"	"20190815T084933_ProShame2_51_m_unobs_4_NA_E1_11_4.837782341"	"51"	"unobs"	"4"	"m"	"4.837782341"	"Test 1"	0.00465870032051281
"118"	"20190815T085953_ProShame2_52_w_unobs_4_NA_E1_11_4.060232717"	"52"	"unobs"	"4"	"w"	"4.060232717"	"Test 1"	-0.00907688205128202
"119"	"20190815T093011_ProShame2_105_w_unobs_4_NA_E1_11_4.470910335"	"105"	"unobs"	"4"	"w"	"4.470910335"	"Test 1"	0.0186616548076923
"120"	"20190815T093011_ProShame2_105_w_unobs_4_NA_E1_11_4.470910335"	"105"	"unobs"	"4"	"w"	"4.470910335"	"Test 2"	0.0150798468406594
"121"	"20190815T095450_ProShame2_106_m_unobs_4_NA_E2_11_4.670773443"	"106"	"unobs"	"4"	"m"	"4.670773443"	"Test 1"	0.0184875025412088
"122"	"20190815T095450_ProShame2_106_m_unobs_4_NA_E2_11_4.670773443"	"106"	"unobs"	"4"	"m"	"4.670773443"	"Test 2"	0.0293187129807692
"123"	"20190815T102203_ProShame2_107_m_unobs_4_NA_E2_11_4.27652293"	"107"	"unobs"	"4"	"m"	"4.27652293"	"Test 1"	0.0005652451923077
"124"	"20190815T102203_ProShame2_107_m_unobs_4_NA_E2_11_4.27652293"	"107"	"unobs"	"4"	"m"	"4.27652293"	"Test 2"	-0.0105456875
"125"	"20190815T103253_ProShame2_108_m_unobs_4_NA_E2_11_4.336755647"	"108"	"unobs"	"4"	"m"	"4.336755647"	"Test 1"	0.0089440673076923
"126"	"20190815T103253_ProShame2_108_m_unobs_4_NA_E2_11_4.336755647"	"108"	"unobs"	"4"	"m"	"4.336755647"	"Test 2"	0.0147332307692308
"127"	"20190822T085112_ProShame2_110_w_unobs_5_NA_E2_11_5.204654346"	"110"	"unobs"	"5"	"w"	"5.204654346"	"Test 1"	-0.0045527857371795
"128"	"20190822T085112_ProShame2_110_w_unobs_5_NA_E2_11_5.204654346"	"110"	"unobs"	"5"	"w"	"5.204654346"	"Test 2"	0.0064475892628205
"129"	"20190822T090822_ProShame2_112_m_unobs_4_NA_E2_11_4.919917864"	"112"	"unobs"	"4"	"m"	"4.919917864"	"Test 1"	-0.0065439403846154
"130"	"20190822T090822_ProShame2_112_m_unobs_4_NA_E2_11_4.919917864"	"112"	"unobs"	"4"	"m"	"4.919917864"	"Test 2"	0.00217127371794873
"131"	"20190822T104925_ProShame2_116_w_unobs_5_NA_E1_11_5.092402464"	"116"	"unobs"	"5"	"w"	"5.092402464"	"Test 1"	0.00358596121794868
"132"	"20190822T104925_ProShame2_116_w_unobs_5_NA_E1_11_5.092402464"	"116"	"unobs"	"5"	"w"	"5.092402464"	"Test 2"	-0.0128115612179487
"133"	"20190906T083128_ProShame2_111_w_unobs_4_NA_E1_12_4.060232717"	"111"	"unobs"	"4"	"w"	"4.060232717"	"Test 1"	-0.0102910437062937
"134"	"20190906T083128_ProShame2_111_w_unobs_4_NA_E1_12_4.060232717"	"111"	"unobs"	"4"	"w"	"4.060232717"	"Test 2"	0.0112388990384615
"135"	"20190906T090657_ProShame2_117_m_unobs_5_NA_E1_12_5.472963723"	"117"	"unobs"	"5"	"m"	"5.472963723"	"Test 1"	-0.0392564769230769
"136"	"20190906T090657_ProShame2_117_m_unobs_5_NA_E1_12_5.472963723"	"117"	"unobs"	"5"	"m"	"5.472963723"	"Test 2"	-0.00935140384615385
"137"	"20190906T092447_ProShame2_118_w_unobs_4_NA_E1_12_4.744695414"	"118"	"unobs"	"4"	"w"	"4.744695414"	"Test 1"	0.0126222932692308
"138"	"20190906T092447_ProShame2_118_w_unobs_4_NA_E1_12_4.744695414"	"118"	"unobs"	"4"	"w"	"4.744695414"	"Test 2"	0.0067049278846154
"139"	"20190906T100635_ProShame2_121_m_unobs_5_NA_E2_12_5.77412731"	"121"	"unobs"	"5"	"m"	"5.77412731"	"Test 1"	-0.0352020788003663
"140"	"20190906T100635_ProShame2_121_m_unobs_5_NA_E2_12_5.77412731"	"121"	"unobs"	"5"	"m"	"5.77412731"	"Test 2"	-0.00430813621794871
"141"	"20190925T083424_ProShame2_135_w_obs_5_F_E1_13_5.618069815"	"135"	"obs"	"5"	"w"	"5.618069815"	"Test 1"	0.0147890536858974
