Subject	ID	Condition	Age	Gender	Age.cont	Trial	Mean
20190815T095450_ProShame2_106_m_unobs_4_NA_E2_11_4.670773443	106	unobs	4	m	4.670773443	Test_2	0.019746497115384627
20190801T090309_ProShame2_98_w_obs_4_M_E2_10_4.684462697	98	obs	4	w	4.684462697	Test_2	0.03066321346153847
20190628T095218_ProShame2_72_m_obs_4_M_E2_5_4.698151951	72	obs	4	m	4.698151951	Test_2	-0.0013770126068376465
20190619T103811_ProShame2_63_w_obs_4_M_E1_4_4.709103354	63	obs	4	w	4.709103354	Test_2	0.007211350961538476
20190612T094719_ProShame2_23_m_unobs_4_NA_E1_4_4.728268309	23	unobs	4	m	4.728268309	Test_2	-0.046457307692307735
20190906T092447_ProShame2_118_w_unobs_4_NA_E1_12_4.744695414	118	unobs	4	w	4.744695414	Test_2	-0.018900769230769228
20190801T093228_ProShame2_99_m_obs_4_M_E2_10_4.752908966	99	obs	4	m	4.752908966	Test_2	1.8353173076924385e-4
20190628T091311_ProShame2_70_w_obs_4_M_E2_5_4.76386037	70	obs	4	w	4.76386037	Test_2	0.02585539850427347
20190723T103926_ProShame2_45_m_unobs_4_NA_E1_8_4.788501027	45	unobs	4	m	4.788501027	Test_2	0.015157142628205141
20190527T091834_ProShame2_54_w_obs_4_F_E1_3_4.79945243	54	obs	4	w	4.79945243	Test_2	-0.013388198397435836
20190815T082813_ProShame2_50_m_unobs_4_NA_E1_11_4.802190281	50	unobs	4	m	4.802190281	Test_2	-0.015494705128205126
20190619T094412_ProShame2_61_m_obs_4_M_E2_4_4.815879535	61	obs	4	m	4.815879535	Test_2	2.2312499999997362e-4
20190628T084403_ProShame2_69_w_obs_4_M_E2_5_4.818617385	69	obs	4	w	4.818617385	Test_2	-0.009835828846153924
20190723T091126_ProShame2_40_m_unobs_4_NA_E2_8_4.845995893	40	unobs	4	m	4.8459958930000004	Test_2	0.006493923076923032
20190822T090822_ProShame2_112_m_unobs_4_NA_E2_11_4.919917864	112	unobs	4	m	4.919917864	Test_2	0.00993068141025643
20190814T093420_ProShame2_47_m_unobs_4_NA_E2_10_4.930869268	47	unobs	4	m	4.930869268	Test_2	-0.014018552884615424
20190925T092825_ProShame2_137_m_obs_4_F_E1_13_4.947296372	137	obs	4	m	4.947296372	Test_2	-0.004063568269230785
20190529T100306_ProShame2_14_w_unobs_4_NA_E2_4_4.955509925	14	unobs	4	w	4.955509925	Test_2	0.020940749198717818
20191011T092520_ProShame2_124_w_unobs_4_NA_E1_13_4.966461328	124	unobs	4	w	4.966461328	Test_2	-0.0057415288461538545
20191011T100812_ProShame2_126_w_unobs_4_NA_E1_13_4.999315537	126	unobs	4	w	4.999315537	Test_2	0.037951198717948685
20190801T100235_ProShame2_101_w_obs_5_M_E1_10_5.01026694	101	obs	5	w	5.01026694	Test_2	-0.011117125000000002
20190925T090738_ProShame2_136_w_obs_5_F_E1_13_5.01026694	136	obs	5	w	5.01026694	Test_2	0.004852578525640954
