"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"57"	"20190705T093018_ProShame2_78_w_obs_4_M_E2_6_4.054757016"	"78"	"obs"	"4"	"w"	"4.054757016"	"Test 2"	0.0179911709935898
"58"	"20190705T094651_ProShame2_79_m_obs_4_M_E2_6_4.054757016"	"79"	"obs"	"4"	"m"	"4.054757016"	"Test 1"	-0.0332405673076923
"59"	"20190705T094651_ProShame2_79_m_obs_4_M_E2_6_4.054757016"	"79"	"obs"	"4"	"m"	"4.054757016"	"Test 2"	-0.0314395256410256
"60"	"20190705T104511_ProShame2_82_w_obs_5_M_E2_6_5.399041752"	"82"	"obs"	"5"	"w"	"5.399041752"	"Test 1"	0.0035194
"61"	"20190705T104511_ProShame2_82_w_obs_5_M_E2_6_5.399041752"	"82"	"obs"	"5"	"w"	"5.399041752"	"Test 2"	0.0148137019230769
"62"	"20190718T094249_ProShame2_35_m_unobs_4_NA_E2_7_4.34770705"	"35"	"unobs"	"4"	"m"	"4.34770705"	"Test 1"	0.0315440608974359
"63"	"20190718T094249_ProShame2_35_m_unobs_4_NA_E2_7_4.34770705"	"35"	"unobs"	"4"	"m"	"4.34770705"	"Test 2"	-0.0220718108974359
"64"	"20190718T095446_ProShame2_36_w_unobs_4_NA_E1_7_4.495550992"	"36"	"unobs"	"4"	"w"	"4.495550992"	"Test 1"	0.0680105881410256
"65"	"20190718T095446_ProShame2_36_w_unobs_4_NA_E1_7_4.495550992"	"36"	"unobs"	"4"	"w"	"4.495550992"	"Test 2"	0.0320987900641026
"66"	"20190718T101831_ProShame2_37_m_unobs_5_NA_E1_7_5.160848734"	"37"	"unobs"	"5"	"m"	"5.160848734"	"Test 1"	0.0346479294871795
"67"	"20190718T101831_ProShame2_37_m_unobs_5_NA_E1_7_5.160848734"	"37"	"unobs"	"5"	"m"	"5.160848734"	"Test 2"	0.0191011057692308
"68"	"20190719T082534_ProShame2_83_m_obs_5_NA_E2_8_5.067761807"	"83"	"obs"	"5"	"m"	"5.067761807"	"Test 1"	0.00778523076923077
"69"	"20190719T082534_ProShame2_83_m_obs_5_NA_E2_8_5.067761807"	"83"	"obs"	"5"	"m"	"5.067761807"	"Test 2"	-0.00145603846153846
"70"	"20190719T084003_ProShame2_84_m_obs_5_NA_E2_8_5.631759069"	"84"	"obs"	"5"	"m"	"5.631759069"	"Test 1"	0.00167022307692307
"71"	"20190719T084003_ProShame2_84_m_obs_5_NA_E2_8_5.631759069"	"84"	"obs"	"5"	"m"	"5.631759069"	"Test 2"	0.0226298711538461
"72"	"20190719T090042_ProShame2_85_m_obs_5_NA_E2_8_5.141683778"	"85"	"obs"	"5"	"m"	"5.141683778"	"Test 1"	0.0133245108974359
"73"	"20190719T093120_ProShame2_87_w_obs_5_NA_E1_8_5.363449692"	"87"	"obs"	"5"	"w"	"5.363449692"	"Test 1"	0.0825464427350428
